title,url,date,Threat Actor
"Need a lot of data including ""mobile phone number"" + ""password"" in the Philippines, b",https://breachforums.st/Thread-BUYING-Need-a-lot-of-data-including-mobile-phone-number-password-in-the-Philippines-b,"12-06-2024, 09:58 PM", tiandao
Buying Insider Trading Secrets,https://breachforums.st/Thread-Buying-Insider-Trading-Secrets,"12-06-2024, 11:49 PM", marvelOUS
Looking for people to sim swap AT&T,https://breachforums.st/Thread-REQUEST-Looking-for-people-to-sim-swap-AT-T,"12-07-2024, 12:23 AM", herefortheoofs
"Buying FULL RaidForums Database - $10,000",https://breachforums.st/Thread-BUYING-Buying-FULL-RaidForums-Database-10-000,"12-07-2024, 12:26 AM", whiteroad
You're hacker ? I bet 500$ + tip,https://breachforums.st/Thread-You-re-hacker-I-bet-500-tip,"12-07-2024, 12:22 AM", l-8-l
⚡AUTODOXER | CHEAPEST PRICES⚡,https://breachforums.st/Thread-SELLING-%E2%9A%A1AUTODOXER-CHEAPEST-PRICES%E2%9A%A1,"12-07-2024, 03:52 AM", xanarchy
⚡PUBLIC.COM VM | CHEAPEST PRICES⚡,https://breachforums.st/Thread-SELLING-%E2%9A%A1PUBLIC-COM-VM-CHEAPEST-PRICES%E2%9A%A1,"12-07-2024, 03:55 AM", xanarchy
Looking for someone with untouched logs,https://breachforums.st/Thread-Looking-for-someone-with-untouched-logs,"12-06-2024, 10:57 PM", gfromdao
✨X2 SI-PNI BRAZIL DATA CONSULTATION LEAK✨,https://breachforums.st/Thread-%E2%9C%A8X2-SI-PNI-BRAZIL-DATA-CONSULTATION-LEAK%E2%9C%A8,"12-07-2024, 01:41 AM", teDools
9X⭐️VyperVpn❤️ PREMIUM ⭐️ ✔️ WORKING ✔️ HQ,https://breachforums.st/Thread-9X%E2%AD%90%EF%B8%8FVyperVpn%E2%9D%A4%EF%B8%8F-PREMIUM-%E2%AD%90%EF%B8%8F-%E2%9C%94%EF%B8%8F-WORKING-%E2%9C%94%EF%B8%8F-HQ,"12-07-2024, 03:52 AM", Interstellar
ellipal crypto hardware wallet,https://breachforums.st/Thread-REQUEST-ellipal-crypto-hardware-wallet,"12-06-2024, 08:32 PM", elixir
EPIC Metals LEAKED (2024),https://breachforums.st/Thread-COLLECTION-EPIC-Metals-LEAKED-2024,"12-06-2024, 08:21 PM", creek97
EPIC Metals LEAKED (2024),https://breachforums.st/Thread-COLLECTION-EPIC-Metals-LEAKED-2024--151877,"12-06-2024, 08:22 PM", creek97
Laroute.fr Free Leaked Emails Employees,https://breachforums.st/Thread-COLLECTION-Laroute-fr-Free-Leaked-Emails-Employees,"12-06-2024, 08:35 PM", creek97
bluesoft-group.com LEAKED Emails Employees,https://breachforums.st/Thread-COLLECTION-bluesoft-group-com-LEAKED-Emails-Employees,"12-06-2024, 08:42 PM", creek97
yemeksepeti.com Turkish Delivery App | 55.143 Restaurant owner data,https://breachforums.st/Thread-yemeksepeti-com-Turkish-Delivery-App-55-143-Restaurant-owner-data,"12-06-2024, 09:55 PM", tcpfuck
location of a person selling child sex on the dark web and surface web,https://breachforums.st/Thread-COLLECTION-location-of-a-person-selling-child-sex-on-the-dark-web-and-surface-web,"12-06-2024, 11:32 PM", Black_Devil
2xResidence Permit SPAIN,https://breachforums.st/Thread-DOCUMENTS-2xResidence-Permit-SPAIN,"12-07-2024, 12:19 AM", Hxp7
100k Email  +  Password   crypto.txt,https://breachforums.st/Thread-DATABASE-100k-Email%C2%A0-%C2%A0-Password%C2%A0-%C2%A0crypto-txt,"12-06-2024, 09:17 PM", soso_love
kayaskinclinic.com,https://breachforums.st/Thread-DATABASE-kayaskinclinic-com,"12-06-2024, 11:21 PM", whatisdb
uptoschoolworksheets.com,https://breachforums.st/Thread-DATABASE-uptoschoolworksheets-com--151903,"12-06-2024, 11:32 PM", whatisdb
drp.ntwo.moph.go.th,https://breachforums.st/Thread-drp-ntwo-moph-go-th,"12-07-2024, 01:48 AM", whatisdb
hoyoverse / hoyolab + imap access,https://breachforums.st/Thread-REQUEST-hoyoverse-hoyolab-imap-access,12-06-2024, Serbushokk
We need real-time shopping data from Japan.,https://breachforums.st/Thread-We-need-real-time-shopping-data-from-Japan,"12-06-2024, 07:27 AM", sbfnvtkd888
Need a large amount of real-time shopping data from Japan,https://breachforums.st/Thread-Need-a-large-amount-of-real-time-shopping-data-from-Japan,"12-06-2024, 07:59 AM", sbfnvtkd888
need jp fresh phone:pass data @pe4453cqy505,https://breachforums.st/Thread-need-jp-fresh-phone-pass-data-pe4453cqy505--151780,"12-06-2024, 10:10 AM", ttaker
Need SMS Spam,https://breachforums.st/Thread-Need-SMS-Spam--151799,"12-06-2024, 11:50 AM", taken
Looking for a penetration testing expert to work with? As long as you are strong enou,https://breachforums.st/Thread-Looking-for-a-penetration-testing-expert-to-work-with-As-long-as-you-are-strong-enou--151807,"12-06-2024, 01:18 PM", XXX08
"Long-term data buyers, Please check,",https://breachforums.st/Thread-TRADING-Long-term-data-buyers-Please-check--151829,"12-06-2024, 03:29 PM", music
Dump OF LicenseBuenosAires,https://breachforums.st/Thread-SELLING-Dump-OF-LicenseBuenosAires,12-06-2024, DomPerignon
American Bank Site - RCE Exploit,https://breachforums.st/Thread-SELLING-American-Bank-Site-RCE-Exploit,"12-06-2024, 11:16 AM", adjective
The Cheapest TLO/lookups bot on telegram,https://breachforums.st/Thread-The-Cheapest-TLO-lookups-bot-on-telegram,"12-06-2024, 02:22 PM", onanist
1500+ Servers of a $2B+ Malaysian Telecommunications -$60K - Serious Inquiries Only,https://breachforums.st/Thread-SELLING-1500-Servers-of-a-2B-Malaysian-Telecommunications-60K-Serious-Inquiries-Only,"12-06-2024, 05:18 PM", Br34cHM45t3r
Root access to over 200+ indonesian administrative government desa.id,https://breachforums.st/Thread-SELLING-Root-access-to-over-200-indonesian-administrative-government-desa-id,"12-06-2024, 05:31 PM", antigov
KYC SERVICES,https://breachforums.st/Thread-KYC-SERVICES--151534,12-05-2024, hardshiver
? FIND ANY WEBSITE LOGIN YOU NEED IN SECONDS !! ?,https://breachforums.st/Thread-FIND-ANY-WEBSITE-LOGIN-YOU-NEED-IN-SECONDS,12-05-2024, MaitreSearch
The Cheapest TLO bot on telegram,https://breachforums.st/Thread-The-Cheapest-TLO-bot-on-telegram,"12-06-2024, 01:56 PM", onanist
Make Daily money 15$ - 500$ Easy,https://breachforums.st/Thread-Make-Daily-money-15-500-Easy,"12-06-2024, 04:23 PM", l-8-l
Chatgpt-Plus_cookie,https://breachforums.st/Thread-Chatgpt-Plus-cookie,12-06-2024, Unknown_Boy
x1000 SHODAN FREE MEMBERSHIP ACCOUNTS & API KEYS HITS,https://breachforums.st/Thread-x1000-SHODAN-FREE-MEMBERSHIP-ACCOUNTS-API-KEYS-HITS,"12-06-2024, 11:58 AM", gwap
(Ad-Free) TV Live + Supreme Hulu Streaming: Unlimited,https://breachforums.st/Thread-Ad-Free-TV-Live-Supreme-Hulu-Streaming-Unlimited--151826,"12-06-2024, 03:23 PM", sistonka69
Yahoo Mail Access x1000 HOT !,https://breachforums.st/Thread-Yahoo-Mail-Access-x1000-HOT--151828,"12-06-2024, 03:25 PM", sistonka69
"x50 Deezer Premium Entries, Unlimited Music Streaming",https://breachforums.st/Thread-x50-Deezer-Premium-Entries-Unlimited-Music-Streaming,"12-06-2024, 03:31 PM", sistonka69
X1- DEARMOB IPHONE MANAGER KEY WINDOWS,https://breachforums.st/Thread-X1-DEARMOB-IPHONE-MANAGER-KEY-WINDOWS,"12-06-2024, 03:40 PM", collective13
x40 NordVPN Account Freshly Checked !,https://breachforums.st/Thread-x40-NordVPN-Account-Freshly-Checked,"12-06-2024, 03:41 PM", sistonka69
"x30 HBO Max VIP Access Entries, Exclusive Content",https://breachforums.st/Thread-x30-HBO-Max-VIP-Access-Entries-Exclusive-Content,"12-06-2024, 03:51 PM", sistonka69
x260 Google Drive Access 2024,https://breachforums.st/Thread-x260-Google-Drive-Access-2024,"12-06-2024, 04:01 PM", sistonka69
"x25 Minecraft Master Entries, Full Access",https://breachforums.st/Thread-x25-Minecraft-Master-Entries-Full-Access,"12-06-2024, 04:11 PM", sistonka69
"x20 Spotify Account Entries, Premium 2024 !",https://breachforums.st/Thread-x20-Spotify-Account-Entries-Premium-2024,"12-06-2024, 04:21 PM", sistonka69
"x132 Canva Pro Account, Premium Design Suite 2024",https://breachforums.st/Thread-x132-Canva-Pro-Account-Premium-Design-Suite-2024,"12-06-2024, 04:32 PM", sistonka69
SWISSCOM BREACH,https://breachforums.st/Thread-REQUEST-SWISSCOM-BREACH,"12-06-2024, 08:35 AM", Anders0n
Got spanish databases but don't know the usage,https://breachforums.st/Thread-Got-spanish-databases-but-don-t-know-the-usage,"12-06-2024, 10:53 AM", W1ndStre4m
Request Database Probe42 - https://probe42.in/,https://breachforums.st/Thread-REQUEST-Request-Database-Probe42-https-probe42-in,"12-06-2024, 04:40 PM", zamasu
akila3d.com small collection of employee data,https://breachforums.st/Thread-akila3d-com-small-collection-of-employee-data,"12-06-2024, 08:41 AM", miyako
+1 million Arabic emails [العرب],https://breachforums.st/Thread-COLLECTION-1-million-Arabic-emails-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8,"12-06-2024, 01:28 PM", bxxxx1
Cogito Software Solutions Leak (India) FRESH,https://breachforums.st/Thread-DOCUMENTS-Cogito-Software-Solutions-Leak-India-FRESH,"12-06-2024, 03:04 PM", BreadPirateLoler
GUS MIFTAH LEAKS DATA,https://breachforums.st/Thread-GUS-MIFTAH-LEAKS-DATA,"12-06-2024, 04:47 PM", NAVINN24
Lebanon Election 2018-2022,https://breachforums.st/Thread-DATABASE-Lebanon-Election-2018-2022,12-06-2024, Orbith
lazzhotel.com.tr Turkish 4-Star Hotel Leak,https://breachforums.st/Thread-lazzhotel-com-tr-Turkish-4-Star-Hotel-Leak,12-06-2024, miyako
kingvcn.com Database Leak,https://breachforums.st/Thread-kingvcn-com-Database-Leak,"12-06-2024, 07:52 AM", miyako
"SalonBiz Database - Leaked, Download!",https://breachforums.st/Thread-DATABASE-SalonBiz-Database-Leaked-Download,"12-06-2024, 10:20 AM",888
anexbaby.com leak,https://breachforums.st/Thread-anexbaby-com-leak,"12-06-2024, 10:52 AM", miyako
Data Breach at Haifa Municipality,https://breachforums.st/Thread-DATABASE-Data-Breach-at-Haifa-Municipality,"12-06-2024, 04:02 PM", Counter
VENEZUELA DATABASES 202,https://breachforums.st/Thread-DATABASE-VENEZUELA-DATABASES-202,"12-06-2024, 04:44 PM", rootkik
[REQUEST]  Truecaller database leak 2023,https://breachforums.st/Thread-REQUEST-%C2%A0-Truecaller-database-leak-2023,"12-06-2024, 05:30 PM", niguy212
zunal.com / Interactive WebQuests Platform / 500k / 2019 [DataViper],https://breachforums.st/Thread-DATABASE-zunal-com-Interactive-WebQuests-Platform-500k-2019-DataViper,"12-06-2024, 06:18 PM", Blastoise
Need Linkedin leads,https://breachforums.st/Thread-Need-Linkedin-leads,"12-04-2024, 07:07 PM", luckytony
Looking for US based sportsbooks contact lists,https://breachforums.st/Thread-Looking-for-US-based-sportsbooks-contact-lists,"12-04-2024, 09:21 PM", Nightglasses
Streamfab Account,https://breachforums.st/Thread-BUYING-Streamfab-Account,"12-04-2024, 09:50 PM", xxthisiscoolxx
need kyc verification accounts bank,https://breachforums.st/Thread-need-kyc-verification-accounts-bank,"12-04-2024, 11:00 PM", biggiesmalls
BUYING OLD SENDGRID APIS,https://breachforums.st/Thread-BUYING-OLD-SENDGRID-APIS,"12-04-2024, 11:55 PM", kamehameha
need jp fresh phone:pass data,https://breachforums.st/Thread-BUYING-need-jp-fresh-phone-pass-data,12-05-2024, ttaker
Recruiting penetration technicians,https://breachforums.st/Thread-Recruiting-penetration-technicians,12-05-2024, fafafa88
Very frequent 4 requests in Logs / ULP,https://breachforums.st/Thread-BUYING-Very-frequent-4-requests-in-Logs-ULP,12-05-2024, Serbushokk
ISTANT Paypal account,https://breachforums.st/Thread-BUYING-ISTANT-Paypal-account,12-05-2024, Jinksy
